StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
9600,7.6,1,1,0,76,3.6,1,1,86,68,0
3092,8.1,1,2,0,90,4.6,1,1,84,86,1
676,8.2,1,3,2,85,4.8,1,1,55,82,0
8677,6.6,1,1,0,71,3.0,0,0,65,62,0
4885,7.7,1,1,1,73,4.4,1,1,82,81,0
8080,6.7,1,2,2,68,4.1,1,0,79,70,0
1963,8.4,2,3,2,90,4.8,1,1,79,84,1
1841,7.7,1,1,0,69,3.8,0,0,57,65,0
7169,6.8,1,1,1,77,3.3,0,1,55,58,0
9899,7.5,0,1,1,73,4.6,1,1,56,62,0
3539,8.2,1,1,0,79,4.5,1,1,81,63,1
8027,8.1,1,1,1,77,4.1,1,1,62,75,1
4867,7.3,1,1,2,81,3.7,0,1,58,76,0
4175,8.0,2,1,1,82,4.2,1,0,83,67,1
8089,8.3,2,3,2,90,4.8,1,1,72,88,1
4378,8.3,1,2,0,70,4.8,1,1,83,82,1
6212,8.7,2,3,2,90,4.8,1,1,88,84,1
4767,7.0,1,2,1,84,3.9,0,1,57,64,0
412,7.5,1,3,2,90,4.2,1,1,80,72,1
614,7.7,0,1,1,67,4.2,1,0,64,64,0
6127,6.5,0,1,1,72,4.5,0,0,55,67,0
5211,6.9,2,1,2,84,4.7,1,1,73,82,0
1431,7.8,1,1,1,83,3.7,1,0,74,62,0
2426,8.0,2,3,2,89,4.1,1,1,75,85,1
8842,8.7,2,3,2,90,4.8,1,1,71,84,1
3834,6.8,1,1,2,77,4.1,0,1,71,70,0
4719,8.4,2,2,0,90,4.1,1,1,76,78,0
7186,8.2,2,3,2,90,4.8,1,1,79,79,1
1418,7.6,0,1,0,71,3.9,0,0,55,63,0
7200,7.6,2,3,2,77,4.8,1,1,79,77,0
605,8.2,0,1,0,73,4.8,1,1,55,66,1
1273,8.6,0,3,2,85,4.6,0,1,55,78,1
3965,7.7,1,2,1,76,4.8,0,1,59,68,0
6368,6.7,1,3,1,78,4.1,1,1,55,82,1
8747,6.5,0,3,0,72,4.2,1,1,75,69,0
248,6.7,1,2,1,73,4.3,0,1,71,66,0
9227,7.8,1,1,1,84,3.9,1,1,73,76,0
1983,7.7,1,2,1,69,4.1,1,0,57,63,0
2836,8.6,2,2,1,74,4.0,0,0,59,63,0
5376,7.7,0,3,1,85,4.3,1,1,77,65,1
200,7.8,2,3,0,79,4.3,1,0,87,87,0
486,6.7,1,1,1,73,4.0,0,1,62,65,0
6084,7.4,1,1,1,65,4.5,0,0,55,73,0
8957,7.9,1,2,0,67,4.4,1,0,73,72,1
456,7.7,1,3,2,84,4.6,1,1,80,83,1
9799,6.6,0,3,0,85,4.0,1,0,64,62,1
8827,8.1,2,2,0,80,4.8,1,0,55,82,1
6516,7.5,2,1,1,80,4.3,0,1,72,64,0
1722,8.2,0,1,1,79,3.9,0,1,62,63,0
7051,8.0,2,2,0,84,4.7,1,1,64,88,1
6383,8.9,2,3,2,80,4.4,1,1,64,74,1
8166,6.5,0,1,0,76,4.7,0,1,59,68,0
5768,7.4,1,2,2,78,4.7,0,1,70,70,1
5810,6.6,1,2,1,64,3.5,0,1,62,66,0
4627,8.2,0,1,2,77,4.3,0,0,68,68,0
863,7.4,0,1,1,65,4.7,0,0,55,58,0
2095,7.7,1,1,0,82,4.3,0,1,60,63,0
948,8.4,2,3,2,90,4.8,0,1,70,85,1
5642,7.7,0,1,0,82,4.1,0,0,58,71,0
1445,8.1,1,3,2,90,4.8,1,1,77,87,1
1281,8.2,1,1,1,80,4.3,0,0,75,64,0
3111,7.1,1,1,2,71,4.2,0,1,57,71,0
8953,8.2,2,3,2,81,4.8,1,1,84,64,0
7610,7.5,1,1,0,71,4.0,0,0,63,64,0
5136,7.5,1,3,1,81,4.6,1,1,72,80,0
3017,6.5,1,1,0,79,4.4,0,1,55,69,0
2303,8.6,2,3,2,90,4.5,1,1,84,82,1
2005,6.7,1,2,0,76,4.8,1,1,59,66,1
4581,7.8,1,2,0,72,3.6,1,1,60,64,0
8705,8.4,2,3,1,86,4.4,1,1,57,80,1
1006,7.8,1,2,2,76,4.0,0,1,73,58,0
5139,8.4,1,3,0,90,4.5,1,1,59,82,1
4318,8.6,2,3,2,90,4.8,1,1,84,87,1
6559,8.3,2,3,2,90,4.8,1,1,68,81,0
4388,7.3,1,2,1,68,4.6,1,0,75,83,0
2133,8.1,1,1,0,62,3.0,0,0,55,67,0
4266,7.9,2,3,2,88,4.6,1,0,79,79,1
2058,8.4,2,3,2,90,4.8,1,1,74,88,1
5387,8.2,1,3,2,90,4.7,1,1,76,86,1
230,7.9,2,3,2,90,4.8,1,1,83,88,1
2890,8.1,1,3,2,78,4.7,1,1,75,88,0
4473,8.1,2,3,2,90,4.7,1,1,77,84,1
6065,8.3,1,2,1,79,4.2,0,0,55,72,0
7925,8.3,2,2,2,75,3.8,0,1,71,66,0
7650,8.3,1,3,2,89,3.4,1,1,77,85,1
8382,7.6,1,1,1,77,4.8,0,1,63,68,0
210,7.8,1,3,0,88,4.8,1,1,70,78,1
2759,6.5,1,1,1,74,3.8,0,0,69,64,0
8472,8.4,1,3,2,90,4.2,1,1,89,88,1
2949,6.7,1,1,0,71,4.3,0,1,57,60,1
7117,7.8,2,1,1,78,4.1,1,1,62,61,1
6331,7.5,1,1,3,79,4.5,1,0,56,71,0
1729,8.2,2,3,2,87,4.7,1,0,90,66,1
4177,8.3,1,3,1,90,4.8,1,1,70,79,1
338,7.2,1,2,0,83,4.5,0,1,74,69,0
4985,7.5,0,1,0,71,3.8,0,1,59,69,0
6879,6.5,1,2,0,70,4.0,0,1,68,66,0
7249,8.4,0,3,2,90,4.8,1,1,75,83,1
8453,8.2,2,3,2,90,4.8,1,0,76,88,1
1227,8.9,2,1,2,90,3.7,1,1,62,69,1
7609,8.2,1,2,0,81,4.4,0,1,55,62,0
6828,8.4,1,1,0,72,4.6,1,1,77,60,1
3541,8.6,1,3,0,89,4.7,1,1,72,85,1
5869,6.7,0,2,0,74,4.2,1,1,55,68,0
2112,7.5,1,3,0,84,4.1,1,1,82,82,0
2692,7.6,1,2,0,80,3.7,0,1,69,63,0
7154,7.9,2,1,0,88,4.5,1,1,73,78,0
3708,8.2,0,3,0,84,4.7,1,0,62,65,1
1018,6.5,1,1,0,70,4.2,0,0,55,59,0
8512,6.8,1,3,1,86,4.8,1,1,76,79,0
2808,7.7,1,2,1,81,4.8,1,1,81,82,1
5016,6.5,1,1,1,71,3.7,0,1,67,64,0
1929,7.9,2,1,2,88,3.6,0,0,73,66,0
351,7.5,1,2,0,70,3.7,0,1,55,66,0
5174,7.7,1,3,3,82,4.4,1,1,76,84,1
4193,7.6,0,1,1,76,3.9,0,1,55,72,0
1935,8.4,2,3,2,90,4.8,1,1,80,84,1
6902,8.0,1,1,0,79,3.8,0,0,55,66,0
4824,7.3,1,2,1,68,3.9,0,0,56,65,0
565,8.2,1,2,1,90,4.7,1,1,76,80,1
1583,7.5,2,3,0,69,3.9,1,1,76,86,0
4695,7.7,1,1,1,70,4.1,0,0,57,71,0
2176,6.5,1,1,0,77,3.7,0,1,63,69,0
7029,6.5,2,1,2,73,4.2,0,0,74,59,0
4881,6.6,0,1,1,77,4.3,1,1,82,66,0
2229,8.0,1,3,2,90,4.7,1,1,72,84,0
1116,7.3,1,1,1,75,3.7,0,1,55,74,0
3127,8.6,1,3,1,85,4.8,1,0,73,86,0
3545,8.4,1,1,2,83,4.5,1,1,68,83,0
5049,8.3,1,2,3,85,4.6,1,1,69,86,1
7477,8.1,1,2,0,86,4.8,0,1,82,63,0
822,8.1,1,3,1,88,4.4,0,1,77,87,1
6533,7.3,1,1,0,65,3.3,0,1,61,74,0
2273,8.0,1,2,1,80,3.4,1,1,76,82,0
5546,8.2,1,3,2,90,4.8,1,1,85,88,1
82,6.7,1,2,1,74,4.8,1,1,72,64,1
1324,8.2,0,3,3,90,4.6,1,1,75,84,1
9406,7.7,0,3,0,89,4.2,1,0,81,85,0
1615,7.5,1,1,0,78,4.1,0,0,55,67,0
832,6.7,1,2,1,60,4.1,0,0,55,70,0
3884,7.5,1,2,0,80,3.9,0,1,61,68,0
8642,6.8,1,2,0,74,3.9,0,0,55,62,0
4465,7.2,1,3,0,77,4.6,0,1,75,75,0
5340,7.5,1,1,1,68,4.6,1,1,59,65,0
8067,8.5,2,3,2,81,4.5,1,1,78,84,1
1650,8.0,0,3,2,85,4.7,1,1,83,86,1
4066,8.5,1,3,1,72,4.1,1,1,72,87,1
9666,8.5,0,1,0,73,4.6,1,1,69,63,0
3039,8.3,1,2,2,87,4.3,1,1,81,88,1
3321,7.8,1,2,2,77,4.8,1,1,85,87,1
7144,8.2,2,3,2,90,4.8,1,0,83,86,1
6890,8.2,2,3,2,85,4.8,1,0,78,82,1
5093,7.4,1,1,1,77,4.1,1,1,73,74,0
3721,8.0,1,3,2,80,4.8,1,1,73,87,1
2424,8.0,1,2,2,87,4.8,1,1,90,68,1
750,7.5,1,1,0,72,4.1,0,1,55,63,0
5272,8.6,0,1,1,88,4.2,1,1,81,67,0
2374,6.5,2,1,1,77,4.2,1,1,58,64,0
4694,8.2,2,3,2,86,4.5,1,1,87,63,1
9880,7.8,1,3,2,82,4.2,0,1,85,69,1
8371,7.5,1,2,0,65,4.1,0,1,55,69,0
7320,8.5,0,3,0,90,4.8,1,1,55,86,1
4369,7.5,1,2,1,77,3.7,0,1,55,70,0
6786,8.5,0,3,0,89,4.7,1,1,83,80,1
7402,6.7,1,1,0,73,3.5,1,1,55,63,0
1140,8.0,2,3,2,90,4.8,1,1,73,88,0
7632,7.5,1,1,0,71,3.7,0,1,73,71,0
2232,8.4,1,3,1,78,4.4,0,0,69,73,0
2165,7.6,1,2,0,72,4.1,0,1,60,64,0
5218,7.7,0,3,1,82,4.1,0,1,82,88,1
9445,8.5,1,2,2,85,4.8,1,1,88,88,1
9238,6.6,2,3,2,90,4.8,1,1,63,83,1
4562,6.5,1,3,1,79,3.5,0,1,75,72,0
1571,7.4,1,1,0,81,4.0,0,1,57,64,0
173,7.4,0,3,0,90,4.6,0,0,65,70,0
7164,8.7,1,3,0,90,4.5,1,1,82,85,1
2088,7.8,1,2,0,77,4.2,0,1,79,70,1
4668,8.3,2,3,2,90,4.7,0,1,71,73,1
4566,7.2,1,3,0,68,4.4,0,0,84,82,0
7090,7.6,1,2,1,90,3.8,1,1,74,86,0
6570,8.7,2,3,2,88,4.8,1,1,72,88,1
4784,8.4,0,3,0,90,4.5,1,1,71,83,1
2685,7.0,1,2,0,72,4.1,0,1,71,73,0
1833,8.5,2,3,2,90,4.8,1,1,81,85,1
8547,8.1,1,2,0,79,4.3,0,1,55,67,0
5066,6.6,1,2,0,79,4.4,0,1,66,68,0
9131,8.2,1,3,2,89,4.8,1,1,77,83,1
9356,6.5,1,2,0,75,4.0,0,0,58,71,0
4413,7.8,1,1,0,79,3.8,1,1,58,61,0
7208,8.3,1,1,1,70,4.3,0,0,58,67,0
9891,7.4,1,2,1,75,4.0,0,1,56,68,0
835,7.1,0,1,1,71,4.0,0,1,56,64,0
6822,7.8,0,2,2,77,3.6,0,1,64,72,1
3782,8.5,1,3,2,90,4.7,1,1,80,80,1
9013,6.8,1,1,0,77,4.2,1,1,64,64,0
7500,8.2,1,2,1,79,4.4,1,1,83,65,1
3425,8.3,0,3,2,78,4.1,1,1,65,65,1
66,8.0,0,3,0,68,4.2,1,0,64,83,1
2964,7.0,2,2,1,74,4.3,0,1,55,83,0
5670,8.7,1,3,2,85,4.8,1,1,75,85,1
8963,8.5,1,2,0,73,4.2,0,1,55,61,0
355,7.8,1,3,2,77,4.2,1,0,77,82,0
8172,8.6,0,3,3,90,4.8,1,1,70,84,1
4031,6.8,1,2,1,68,4.3,0,1,64,69,0
8535,8.3,2,2,1,87,4.5,1,1,82,80,0
3652,8.4,2,3,2,90,4.7,1,1,73,88,1
6740,7.6,2,3,3,77,4.1,0,1,76,57,1
3298,6.5,0,2,0,69,3.6,0,1,55,75,0
4128,8.5,1,3,2,87,4.4,1,1,82,82,1
8044,8.2,0,3,2,90,4.5,1,1,81,85,1
4768,7.8,1,3,2,82,4.8,1,0,78,77,1
473,8.4,2,1,2,81,4.7,1,1,77,82,0
3762,7.5,1,1,0,82,3.6,0,1,66,65,0
8618,7.6,1,0,1,75,4.8,1,1,83,80,1
3567,8.2,2,1,2,90,4.8,1,0,73,70,0
2761,8.3,1,1,3,76,4.2,0,1,56,83,0
